,AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET_TXT,SOCSTATUS_WORK_FL_TXT,SOCSTATUS_PENS_FL_TXT,GENDER_TXT
127,59925882,0,38,1,0,0,4,4,38000.0,3,2,отклика нет,работает,не пенсионер,женщина
128,59925955,0,51,1,0,1,0,0,25000.0,1,1,отклика нет,работает,не пенсионер,мужчина
129,59926091,1,54,1,0,1,1,1,11000.0,1,1,отклик,работает,не пенсионер,мужчина
130,59926221,0,35,1,0,1,1,1,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
131,59926263,0,27,1,0,1,2,2,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
132,59926295,0,48,1,0,1,2,0,6000.0,1,1,отклика нет,работает,не пенсионер,мужчина
133,59926408,0,50,1,0,1,0,0,12000.0,1,1,отклика нет,работает,не пенсионер,мужчина
134,59926549,0,41,1,0,1,2,2,5000.0,1,1,отклика нет,работает,не пенсионер,мужчина
135,59926704,0,42,1,0,1,1,1,10000.0,2,2,отклика нет,работает,не пенсионер,мужчина
136,59926732,0,29,1,0,0,1,1,6200.0,1,1,отклика нет,работает,не пенсионер,женщина
137,59926912,0,27,1,0,0,0,0,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
138,59926936,0,40,1,0,0,2,2,20000.0,1,1,отклика нет,работает,не пенсионер,женщина
139,59927010,0,29,1,0,1,0,0,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
140,59927078,0,53,1,0,1,0,0,6000.0,1,1,отклика нет,работает,не пенсионер,мужчина
141,59927260,0,46,1,0,0,1,0,8000.0,1,1,отклика нет,работает,не пенсионер,женщина
142,59927432,0,57,0,1,1,2,0,7000.0,1,1,отклика нет,не работает,пенсионер,мужчина
143,59927451,0,32,1,0,1,1,1,10500.0,1,1,отклика нет,работает,не пенсионер,мужчина
144,59927525,0,56,1,0,1,0,0,170000.0,1,1,отклика нет,работает,не пенсионер,мужчина
145,59927554,0,51,1,1,1,0,0,15000.0,1,1,отклика нет,работает,пенсионер,мужчина
146,59927584,0,31,1,0,1,2,2,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
147,59927613,0,51,1,0,1,2,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
148,59927690,0,43,1,0,1,1,1,8000.0,1,1,отклика нет,работает,не пенсионер,мужчина
149,59927793,0,35,1,0,1,1,1,10000.0,2,2,отклика нет,работает,не пенсионер,мужчина
150,59927798,0,38,1,0,1,0,0,9000.0,1,1,отклика нет,работает,не пенсионер,мужчина
151,59927827,0,55,1,0,0,0,0,20000.0,1,1,отклика нет,работает,не пенсионер,женщина
152,59927916,0,37,1,0,1,2,2,60000.0,1,1,отклика нет,работает,не пенсионер,мужчина
153,59927923,0,38,1,0,0,2,2,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
154,59928049,0,23,1,0,1,2,2,8000.0,1,1,отклика нет,работает,не пенсионер,мужчина
155,59928086,0,53,1,0,0,2,0,7000.0,1,1,отклика нет,работает,не пенсионер,женщина
156,59928106,0,40,1,0,0,2,0,7800.0,1,1,отклика нет,работает,не пенсионер,женщина
157,59928443,0,59,1,1,1,3,1,18000.0,2,1,отклика нет,работает,пенсионер,мужчина
158,59928497,0,37,1,0,1,2,2,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
159,59928561,1,27,1,0,0,2,2,12000.0,2,2,отклик,работает,не пенсионер,женщина
160,59928609,0,63,1,0,1,0,0,25000.0,1,1,отклика нет,работает,не пенсионер,мужчина
161,59928861,0,57,1,0,1,0,0,12000.0,1,1,отклика нет,работает,не пенсионер,мужчина
162,59928901,1,42,1,0,0,0,0,15000.0,2,2,отклик,работает,не пенсионер,женщина
163,59928942,0,31,1,0,0,2,2,10000.0,3,2,отклика нет,работает,не пенсионер,женщина
164,59929169,0,33,1,0,1,2,2,3300.0,1,1,отклика нет,работает,не пенсионер,мужчина
165,59929176,0,31,1,0,0,1,2,30000.0,2,1,отклика нет,работает,не пенсионер,женщина
166,59929197,0,51,1,0,1,2,0,8000.0,2,1,отклика нет,работает,не пенсионер,мужчина
167,59929552,0,28,1,0,0,1,2,25000.0,2,2,отклика нет,работает,не пенсионер,женщина
168,59929697,0,27,1,0,1,1,1,6000.0,1,1,отклика нет,работает,не пенсионер,мужчина
169,59929797,0,48,1,0,0,1,1,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
170,59929832,0,24,1,0,0,1,1,6500.0,1,1,отклика нет,работает,не пенсионер,женщина
171,59929846,0,29,1,0,0,1,1,25000.0,1,1,отклика нет,работает,не пенсионер,женщина
172,59929855,0,66,1,1,1,1,0,9300.0,1,1,отклика нет,работает,пенсионер,мужчина
173,59929948,0,49,1,0,0,1,1,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
174,59930128,0,23,1,0,0,0,0,15000.0,1,1,отклика нет,работает,не пенсионер,женщина
175,59930152,0,34,1,0,0,1,1,8000.0,1,1,отклика нет,работает,не пенсионер,женщина
176,59930194,1,35,1,0,0,0,0,13000.0,1,1,отклик,работает,не пенсионер,женщина
177,59930219,0,34,1,0,1,1,1,18000.0,2,2,отклика нет,работает,не пенсионер,мужчина
178,59930389,0,49,1,0,1,0,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
179,59930422,0,29,1,0,0,0,0,20000.0,1,1,отклика нет,работает,не пенсионер,женщина
180,59930424,0,57,1,0,0,3,0,12000.0,1,1,отклика нет,работает,не пенсионер,женщина
181,59930490,0,63,1,1,1,3,0,20000.0,1,1,отклика нет,работает,пенсионер,мужчина
182,59930738,0,33,1,0,0,0,0,35000.0,1,1,отклика нет,работает,не пенсионер,женщина
183,59930942,0,50,0,1,1,1,0,8000.0,1,1,отклика нет,не работает,пенсионер,мужчина
184,59931044,0,48,1,0,1,0,0,18000.0,1,1,отклика нет,работает,не пенсионер,мужчина
185,59931084,0,36,1,0,1,1,0,17000.0,1,1,отклика нет,работает,не пенсионер,мужчина
186,59931383,0,34,1,0,0,2,2,6000.0,2,1,отклика нет,работает,не пенсионер,женщина
187,59931442,0,23,1,0,0,0,0,5500.0,1,1,отклика нет,работает,не пенсионер,женщина
188,59931474,0,29,1,0,0,0,0,28000.0,1,1,отклика нет,работает,не пенсионер,женщина
189,59931501,0,47,1,0,1,2,0,9000.0,1,1,отклика нет,работает,не пенсионер,мужчина
190,59931579,0,34,1,0,1,1,1,14000.0,1,1,отклика нет,работает,не пенсионер,мужчина
191,59931599,0,57,0,1,1,0,0,9000.0,1,1,отклика нет,не работает,пенсионер,мужчина
192,59931767,0,53,1,0,1,0,0,7000.0,1,1,отклика нет,работает,не пенсионер,мужчина
193,59931796,0,61,0,1,1,0,0,7000.0,1,1,отклика нет,не работает,пенсионер,мужчина
194,59931959,0,34,1,0,1,2,2,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
195,59931983,1,47,1,0,1,1,0,25000.0,1,1,отклик,работает,не пенсионер,мужчина
196,59932008,0,24,1,0,0,0,0,20000.0,1,1,отклика нет,работает,не пенсионер,женщина
197,59932142,0,56,0,1,1,0,0,10000.0,1,1,отклика нет,не работает,пенсионер,мужчина
198,59932520,0,42,1,0,0,1,0,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
199,59932632,0,62,1,1,1,0,0,15000.0,2,2,отклика нет,работает,пенсионер,мужчина
200,59932724,1,37,1,0,1,2,2,12000.0,2,2,отклик,работает,не пенсионер,мужчина
201,59932922,0,41,1,0,1,2,0,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
202,59933024,0,49,1,0,1,1,1,2300.0,1,1,отклика нет,работает,не пенсионер,мужчина
203,59933083,1,25,1,0,1,0,0,12000.0,1,1,отклик,работает,не пенсионер,мужчина
204,59933136,0,39,1,0,0,1,1,20000.0,2,2,отклика нет,работает,не пенсионер,женщина
205,59933153,0,25,1,0,0,0,0,12000.0,1,1,отклика нет,работает,не пенсионер,женщина
206,59933221,0,44,1,0,1,1,1,7000.0,1,1,отклика нет,работает,не пенсионер,мужчина
207,59933246,1,23,1,0,1,1,1,12000.0,1,1,отклик,работает,не пенсионер,мужчина
208,59933395,0,27,1,0,0,1,1,15000.0,1,1,отклика нет,работает,не пенсионер,женщина
209,59933459,0,36,1,0,1,0,0,8000.0,2,2,отклика нет,работает,не пенсионер,мужчина
210,59933661,0,47,1,0,1,1,0,30000.0,1,1,отклика нет,работает,не пенсионер,мужчина
211,59933854,0,56,1,1,1,1,1,10000.0,1,1,отклика нет,работает,пенсионер,мужчина
212,59933862,0,30,1,0,0,1,1,6000.0,1,1,отклика нет,работает,не пенсионер,женщина
213,59934004,0,48,1,0,1,0,0,12000.0,1,1,отклика нет,работает,не пенсионер,мужчина
214,59934011,0,50,1,0,0,0,0,15000.0,1,1,отклика нет,работает,не пенсионер,женщина
215,59934078,0,30,1,0,1,2,2,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
216,59934125,0,49,1,0,1,0,0,5000.0,1,1,отклика нет,работает,не пенсионер,мужчина
217,59934296,0,27,1,0,0,1,1,12000.0,1,1,отклика нет,работает,не пенсионер,женщина
218,59934364,1,39,1,0,0,2,2,32000.0,1,1,отклик,работает,не пенсионер,женщина
219,59934448,0,53,1,0,1,0,0,20000.0,2,2,отклика нет,работает,не пенсионер,мужчина
220,59934534,0,44,1,0,0,2,0,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
221,59934860,0,52,0,1,1,1,0,5500.0,1,1,отклика нет,не работает,пенсионер,мужчина
222,59935108,0,24,1,0,1,0,0,12000.0,2,1,отклика нет,работает,не пенсионер,мужчина
223,59935125,0,25,1,0,1,1,1,13500.0,1,1,отклика нет,работает,не пенсионер,мужчина
224,59935139,0,60,1,1,1,0,0,5000.0,1,1,отклика нет,работает,пенсионер,мужчина
225,59935159,0,40,1,0,0,2,2,11000.0,2,2,отклика нет,работает,не пенсионер,женщина
226,59935199,0,48,1,0,1,0,0,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
227,59935377,0,38,1,0,0,2,2,21000.0,1,1,отклика нет,работает,не пенсионер,женщина
228,59935448,1,35,1,0,0,0,0,28000.0,1,1,отклик,работает,не пенсионер,женщина
229,59935469,0,33,1,0,1,1,1,18000.0,2,1,отклика нет,работает,не пенсионер,мужчина
230,59935708,0,29,1,0,0,0,0,35000.0,1,1,отклика нет,работает,не пенсионер,женщина
231,59935718,0,58,1,0,1,2,1,30000.0,1,1,отклика нет,работает,не пенсионер,мужчина
232,59935837,0,49,1,1,1,0,0,7500.0,3,2,отклика нет,работает,пенсионер,мужчина
233,59935839,0,66,0,1,1,0,0,8400.0,2,2,отклика нет,не работает,пенсионер,мужчина
234,59935875,1,50,1,0,1,2,0,5600.0,1,1,отклик,работает,не пенсионер,мужчина
235,59935933,0,34,1,0,1,1,1,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
236,59936064,0,58,1,0,0,0,0,13000.0,1,1,отклика нет,работает,не пенсионер,женщина
237,59936342,0,49,1,0,1,0,0,20000.0,1,1,отклика нет,работает,не пенсионер,мужчина
238,59936570,0,42,1,0,1,1,1,25000.0,2,1,отклика нет,работает,не пенсионер,мужчина
239,59936617,0,34,1,0,1,2,2,6000.0,1,1,отклика нет,работает,не пенсионер,мужчина
240,59936794,0,37,1,0,1,2,2,9800.0,1,1,отклика нет,работает,не пенсионер,мужчина
241,59936799,1,27,1,0,0,1,1,12000.0,1,1,отклик,работает,не пенсионер,женщина
242,59936804,0,60,1,0,0,0,0,11000.0,1,1,отклика нет,работает,не пенсионер,женщина
243,59936830,0,37,1,0,1,1,1,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
244,59936839,0,38,1,0,1,0,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
245,59937023,0,43,1,0,1,1,1,9000.0,1,1,отклика нет,работает,не пенсионер,мужчина
246,59937024,0,35,1,0,1,0,0,15000.0,1,1,отклика нет,работает,не пенсионер,мужчина
247,59937151,0,39,1,0,1,1,1,6500.0,1,1,отклика нет,работает,не пенсионер,мужчина
248,59937320,0,42,1,0,1,1,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
249,59937564,0,32,1,0,1,1,0,7000.0,1,1,отклика нет,работает,не пенсионер,мужчина
250,59937712,0,49,1,0,0,3,0,15000.0,1,1,отклика нет,работает,не пенсионер,женщина
251,59937776,0,35,1,0,0,1,1,35000.0,1,1,отклика нет,работает,не пенсионер,женщина
252,59937805,1,42,1,0,1,1,0,10000.0,1,1,отклик,работает,не пенсионер,мужчина
253,59937843,1,35,1,0,0,2,2,25000.0,1,1,отклик,работает,не пенсионер,женщина
254,59937903,0,38,1,0,0,2,2,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
255,59938197,1,43,1,0,1,1,1,12500.0,1,1,отклик,работает,не пенсионер,мужчина
256,59938227,0,37,1,0,1,0,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
257,59938300,1,51,1,0,1,2,0,7000.0,1,1,отклик,работает,не пенсионер,мужчина
258,59938618,0,44,1,0,0,0,0,20000.0,1,1,отклика нет,работает,не пенсионер,женщина
259,59938735,0,31,1,0,1,0,0,10000.0,2,1,отклика нет,работает,не пенсионер,мужчина
260,59938893,0,32,1,0,1,0,0,14000.0,1,1,отклика нет,работает,не пенсионер,мужчина
261,59939017,0,51,1,0,1,0,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
262,59939096,0,52,1,0,1,2,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
263,59939171,0,62,0,1,1,1,0,6000.0,1,1,отклика нет,не работает,пенсионер,мужчина
264,59939180,0,63,0,1,0,0,0,4300.0,1,1,отклика нет,не работает,пенсионер,женщина
265,59939268,1,35,1,0,1,0,0,12000.0,1,1,отклик,работает,не пенсионер,мужчина
266,59939374,0,25,1,0,0,0,0,10000.0,1,1,отклика нет,работает,не пенсионер,женщина
267,59939381,0,53,0,1,1,3,0,5000.0,1,1,отклика нет,не работает,пенсионер,мужчина
268,59939625,0,25,1,0,0,0,0,24000.0,2,1,отклика нет,работает,не пенсионер,женщина
269,59939725,0,27,1,0,0,1,1,7000.0,1,1,отклика нет,работает,не пенсионер,женщина
270,59939737,0,55,1,0,0,0,0,20000.0,1,1,отклика нет,работает,не пенсионер,женщина
271,59939829,0,48,1,0,0,0,0,12000.0,1,1,отклика нет,работает,не пенсионер,женщина
272,59939964,0,44,1,0,1,0,0,10000.0,1,1,отклика нет,работает,не пенсионер,мужчина
273,59940247,0,61,0,1,1,4,0,6200.0,1,1,отклика нет,не работает,пенсионер,мужчина
274,59940316,0,61,0,1,1,2,0,4500.0,1,1,отклика нет,не работает,пенсионер,мужчина
275,59940352,0,47,1,0,1,0,0,20000.0,1,1,отклика нет,работает,не пенсионер,мужчина
